id,name,type,timestamp
1500,visited: /,navigation,"3/26/2026, 2:43:40 PM"
1501,visited: /list,navigation,"3/26/2026, 2:43:42 PM"
1502,visited: /entry/129,navigation,"3/26/2026, 2:43:43 PM"
1503,visited: /list,navigation,"3/26/2026, 2:43:44 PM"
1504,visited: /entry/130,navigation,"3/26/2026, 2:43:45 PM"
1505,visited: /list,navigation,"3/26/2026, 2:43:46 PM"
1506,visited: /entry/126,navigation,"3/26/2026, 2:43:48 PM"
1507,visited: /list,navigation,"3/26/2026, 2:43:49 PM"
1508,visited: /entry/110,navigation,"3/26/2026, 2:43:50 PM"
1509,visited: /list,navigation,"3/26/2026, 2:43:53 PM"
1510,visited: /entry/86,navigation,"3/26/2026, 2:43:54 PM"
1511,visited: /list,navigation,"3/26/2026, 2:43:57 PM"
1512,visited: /entry/69,navigation,"3/26/2026, 2:43:58 PM"
1513,visited: /entry/70,navigation,"3/26/2026, 2:44:02 PM"
1514,visited: /list,navigation,"3/26/2026, 2:44:05 PM"
1515,visited: /entry/89,navigation,"3/26/2026, 2:44:06 PM"
1516,visited: /list,navigation,"3/26/2026, 2:44:08 PM"
1517,visited: /entry/83,navigation,"3/26/2026, 2:44:09 PM"
1518,visited: /entry/84,navigation,"3/26/2026, 2:44:12 PM"
1519,visited: /list,navigation,"3/26/2026, 2:44:15 PM"
1520,visited: /entry/49,navigation,"3/26/2026, 2:44:18 PM"
1521,visited: /list,navigation,"3/26/2026, 2:44:20 PM"
1522,visited: /entry/48,navigation,"3/26/2026, 2:44:22 PM"
1523,visited: /entry/47,navigation,"3/26/2026, 2:44:26 PM"
1524,visited: /entry/46,navigation,"3/26/2026, 2:44:35 PM"
1525,visited: /entry/48,navigation,"3/26/2026, 2:44:39 PM"
1526,visited: /list,navigation,"3/26/2026, 2:44:46 PM"
1527,visited: /entry/127,navigation,"3/26/2026, 2:44:48 PM"
1528,visited: /list,navigation,"3/26/2026, 2:44:52 PM"
1529,visited: /entry/45,navigation,"3/26/2026, 2:44:53 PM"
1530,visited: /list,navigation,"3/26/2026, 2:45:00 PM"
1531,visited: /entry/113,navigation,"3/26/2026, 2:45:02 PM"
1532,visited: /list,navigation,"3/26/2026, 2:45:25 PM"
1533,visited: /search,navigation,"3/26/2026, 2:45:25 PM"
1534,visited: /user-profile,navigation,"3/26/2026, 2:45:44 PM"
