id,name,type,timestamp
1363,visited: /,navigation,"3/26/2026, 11:54:14 AM"
1364,visited: /list,navigation,"3/26/2026, 11:55:03 AM"
1365,visited: /,navigation,"3/26/2026, 11:55:24 AM"
1366,visited: /search,navigation,"3/26/2026, 11:55:27 AM"
1367,visited: /,navigation,"3/26/2026, 11:55:27 AM"
1368,visited: /search,navigation,"3/26/2026, 11:55:36 AM"
1369,visited: /hashImport,navigation,"3/26/2026, 11:55:37 AM"
1370,visited: /,navigation,"3/26/2026, 11:55:39 AM"
1371,visited: /entry/110,navigation,"3/26/2026, 11:55:49 AM"
1372,visited: /,navigation,"3/26/2026, 11:56:03 AM"
1373,visited: /entry/110,navigation,"3/26/2026, 11:56:16 AM"
1374,visited: /,navigation,"3/26/2026, 11:56:22 AM"
1375,visited: /entry/new,navigation,"3/26/2026, 11:57:00 AM"
1376,visited: /search,navigation,"3/26/2026, 11:57:11 AM"
1377,searched: rejection,search,"3/26/2026, 11:57:14 AM"
1378,visited: /edit-item/128,navigation,"3/26/2026, 11:57:16 AM"
1379,visited: /,navigation,"3/26/2026, 12:04:28 PM"
1380,visited: /entry/new,navigation,"3/26/2026, 12:14:46 PM"
1381,visited: /entry/129,navigation,"3/26/2026, 12:16:16 PM"
1382,visited: /entry/129,navigation,"3/26/2026, 1:02:35 PM"
1383,visited: /entry/129,navigation,"3/26/2026, 1:02:46 PM"
1384,visited: /entry/129,navigation,"3/26/2026, 1:05:30 PM"
1385,visited: /import-export,navigation,"3/26/2026, 1:13:40 PM"
