id,name,type,timestamp
1927,visited: /,navigation,"3/26/2026, 3:50:25 PM"
1928,visited: /search,navigation,"3/26/2026, 3:50:27 PM"
1929,searched: lt-a127,search,"3/26/2026, 3:50:36 PM"
1930,searched: lt-a-127,search,"3/26/2026, 3:50:52 PM"
1931,visited: /entry/73,navigation,"3/26/2026, 3:50:54 PM"
1932,visited: /entry/72,navigation,"3/26/2026, 3:50:59 PM"
1933,visited: /entry/124,navigation,"3/26/2026, 3:51:02 PM"
1934,visited: /search,navigation,"3/26/2026, 3:51:04 PM"
1935,visited: /player-add-entry,navigation,"3/26/2026, 3:51:05 PM"
1936,visited: /entry/124,navigation,"3/26/2026, 3:51:08 PM"
1937,visited: /search,navigation,"3/26/2026, 3:51:10 PM"
1938,searched: QA3952,search,"3/26/2026, 5:25:14 PM"
1939,visited: /entry/86,navigation,"3/26/2026, 5:25:17 PM"
1940,visited: /entry/124,navigation,"3/26/2026, 5:26:32 PM"
1941,visited: /search,navigation,"3/26/2026, 5:26:48 PM"
1942,searched: LT-A-127,search,"3/26/2026, 5:26:57 PM"
1943,visited: /entry/73,navigation,"3/26/2026, 5:26:59 PM"
1944,visited: /entry/72,navigation,"3/26/2026, 5:27:05 PM"
1945,visited: /entry/124,navigation,"3/26/2026, 5:27:18 PM"
1946,visited: /entry/73,navigation,"3/26/2026, 5:27:25 PM"
1947,visited: /entry/72,navigation,"3/26/2026, 5:27:29 PM"
1948,visited: /entry/71,navigation,"3/26/2026, 5:27:31 PM"
1949,visited: /search,navigation,"3/26/2026, 5:28:12 PM"
1950,searched: QAO960,search,"3/26/2026, 5:28:17 PM"
1951,searched: QA0960,search,"3/26/2026, 5:28:31 PM"
1952,visited: /entry/69,navigation,"3/26/2026, 5:28:33 PM"
1953,visited: /entry/70,navigation,"3/26/2026, 5:28:43 PM"
1954,visited: /search,navigation,"3/26/2026, 5:28:58 PM"
1955,searched: QA0160,search,"3/26/2026, 5:29:06 PM"
1956,searched: QA0960,search,"3/26/2026, 5:29:15 PM"
1957,visited: /entry/69,navigation,"3/26/2026, 5:29:17 PM"
1958,visited: /player-add-entry,navigation,"3/26/2026, 5:33:05 PM"
1959,visited: /search,navigation,"3/26/2026, 6:14:27 PM"
1960,searched: qa3952,search,"3/26/2026, 6:14:42 PM"
1961,visited: /entry/86,navigation,"3/26/2026, 6:14:44 PM"
1962,visited: /search,navigation,"3/26/2026, 6:15:05 PM"
1963,searched: ltm011,search,"3/26/2026, 6:15:11 PM"
1964,searched: lt-m-011,search,"3/26/2026, 6:15:16 PM"
1965,visited: /entry/111,navigation,"3/26/2026, 6:15:17 PM"
1966,visited: /search,navigation,"3/26/2026, 6:15:23 PM"
1967,searched: lt-m-021,search,"3/26/2026, 6:15:31 PM"
1968,visited: /entry/112,navigation,"3/26/2026, 6:15:33 PM"
1969,visited: /search,navigation,"3/26/2026, 6:15:43 PM"
1970,searched: ff-01,search,"3/26/2026, 6:15:54 PM"
1971,visited: /entry/120,navigation,"3/26/2026, 6:15:55 PM"
1972,visited: /entry/119,navigation,"3/26/2026, 6:17:03 PM"
1973,visited: /entry/120,navigation,"3/26/2026, 6:17:31 PM"
1974,visited: /entry/121,navigation,"3/26/2026, 6:17:35 PM"
1975,visited: /search,navigation,"3/26/2026, 6:18:36 PM"
1976,searched: you-d-misc,search,"3/26/2026, 6:18:44 PM"
1977,visited: /entry/129,navigation,"3/26/2026, 6:18:45 PM"
1978,visited: /search,navigation,"3/26/2026, 6:18:50 PM"
1979,searched: lt-ai26-2,search,"3/26/2026, 6:19:01 PM"
1980,searched: lt-a126-2,search,"3/26/2026, 6:19:07 PM"
1981,searched: lt-al26-2,search,"3/26/2026, 6:19:10 PM"
1982,searched: lt-aI26-2,search,"3/26/2026, 6:19:11 PM"
1983,searched: lt-f-135,search,"3/26/2026, 6:19:24 PM"
1984,visited: /entry/116,navigation,"3/26/2026, 6:19:25 PM"
1985,visited: /search,navigation,"3/26/2026, 6:19:34 PM"
1986,searched: lt-a-275,search,"3/26/2026, 6:19:47 PM"
1987,visited: /entry/84,navigation,"3/26/2026, 6:19:49 PM"
1988,visited: /search,navigation,"3/26/2026, 6:20:01 PM"
1989,searched: qa-1043,search,"3/26/2026, 6:20:12 PM"
1990,visited: /entry/83,navigation,"3/26/2026, 6:20:14 PM"
1991,visited: /search,navigation,"3/26/2026, 6:20:18 PM"
1992,searched: lt-a-127,search,"3/26/2026, 6:22:49 PM"
1993,visited: /entry/73,navigation,"3/26/2026, 6:22:52 PM"
1994,visited: /player-add-entry,navigation,"3/26/2026, 6:23:00 PM"
1995,"YOU-A-318 title: New Entry desc: eating away. eating away. eating away at me media: , webcam-admin-1774563917759.png",player entry,"3/26/2026, 6:25:20 PM"
1996,visited: /entry/131,navigation,"3/26/2026, 6:25:20 PM"
1997,visited: /search,navigation,"3/26/2026, 6:25:29 PM"
1998,searched: LT-A-275,search,"3/26/2026, 6:30:10 PM"
1999,visited: /entry/84,navigation,"3/26/2026, 6:30:13 PM"
2000,visited: /search,navigation,"3/26/2026, 6:30:43 PM"
2001,searched: LT-A126-2,search,"3/26/2026, 6:31:49 PM"
2002,searched: FF-01,search,"3/26/2026, 6:31:57 PM"
2003,visited: /entry/120,navigation,"3/26/2026, 6:31:59 PM"
2004,visited: /entry/119,navigation,"3/26/2026, 6:32:23 PM"
2005,visited: /search,navigation,"3/26/2026, 6:32:38 PM"
2006,searched: LT-A-127,search,"3/26/2026, 6:32:47 PM"
2007,visited: /entry/73,navigation,"3/26/2026, 6:32:49 PM"
2008,visited: /entry/72,navigation,"3/26/2026, 6:32:54 PM"
2009,visited: /search,navigation,"3/26/2026, 6:33:01 PM"
2010,visited: /player-add-entry,navigation,"3/26/2026, 6:35:04 PM"
2011,visited: /search,navigation,"3/26/2026, 6:35:34 PM"
2012,searched: LT-A-275,search,"3/26/2026, 6:35:42 PM"
2013,visited: /entry/84,navigation,"3/26/2026, 6:35:43 PM"
2014,visited: /player-add-entry,navigation,"3/26/2026, 6:36:03 PM"
2015,visited: /search,navigation,"3/26/2026, 6:36:05 PM"
2016,searched: Lt-A-275,search,"3/26/2026, 6:39:14 PM"
2017,visited: /entry/84,navigation,"3/26/2026, 6:39:17 PM"
2018,visited: /search,navigation,"3/26/2026, 6:39:41 PM"
2019,searched: lt-A-127,search,"3/26/2026, 6:39:49 PM"
2020,visited: /entry/73,navigation,"3/26/2026, 6:39:51 PM"
2021,visited: /entry/72,navigation,"3/26/2026, 6:40:11 PM"
2022,visited: /search,navigation,"3/26/2026, 6:40:17 PM"
2023,searched: MX-6730-SM,search,"3/26/2026, 6:40:36 PM"
2024,visited: /entry/45,navigation,"3/26/2026, 6:40:39 PM"
2025,visited: /search,navigation,"3/26/2026, 6:40:46 PM"
2026,visited: /player-add-entry,navigation,"3/26/2026, 6:41:55 PM"
2027,"YOU-A-465 title: New Entry desc: Upset Meteorite. A meteorite that became sentient and has hurt feelings. Origin unknown. media: , webcam-admin-1774564949908.png",player entry,"3/26/2026, 6:42:35 PM"
2028,visited: /entry/132,navigation,"3/26/2026, 6:42:35 PM"
2029,visited: /search,navigation,"3/26/2026, 6:42:40 PM"
2030,visited: /player-add-entry,navigation,"3/26/2026, 6:42:52 PM"
2031,"YOU-A-290 title: New Entry desc: Petrified worm found in ribcage of bog body, screaming but only heard as a psychic grating media: , webcam-admin-1774565062556.png",player entry,"3/26/2026, 6:44:27 PM"
2032,visited: /entry/133,navigation,"3/26/2026, 6:44:27 PM"
2033,visited: /search,navigation,"3/26/2026, 6:44:53 PM"
2034,searched: Qa-1043,search,"3/26/2026, 6:45:05 PM"
2035,visited: /entry/83,navigation,"3/26/2026, 6:45:07 PM"
2036,visited: /search,navigation,"3/26/2026, 6:46:02 PM"
2037,searched: Qa3953,search,"3/26/2026, 6:46:12 PM"
2038,searched: QA3953,search,"3/26/2026, 6:46:17 PM"
2039,searched: QA 3953,search,"3/26/2026, 6:46:19 PM"
2040,searched: QA 3953,search,"3/26/2026, 6:46:20 PM"
2041,searched: QA 3953,search,"3/26/2026, 6:46:20 PM"
2042,searched: QA 3953,search,"3/26/2026, 6:46:20 PM"
2043,searched: QA 3952,search,"3/26/2026, 6:46:24 PM"
2044,searched: QA3952,search,"3/26/2026, 6:46:27 PM"
2045,visited: /entry/86,navigation,"3/26/2026, 6:46:29 PM"
2046,visited: /player-add-entry,navigation,"3/26/2026, 6:46:53 PM"
2047,"YOU-A-487 title: Flowers desc: Loved it and it was super pretty! media: , webcam-admin-1774565253324.png",player entry,"3/26/2026, 6:47:37 PM"
2048,visited: /entry/134,navigation,"3/26/2026, 6:47:37 PM"
2049,visited: /search,navigation,"3/26/2026, 6:47:42 PM"
2050,visited: /player-add-entry,navigation,"3/26/2026, 6:48:12 PM"
2051,"YOU-A-181 title: New Entry desc: A tube of Aquaphor: Healing Ointment/Onguent Reparateur, Baby/Bebe, Mineral Oil Ointment. Dark blue lid with hinge to expose the applicator. Tube is white with dark blue writing and red surrounding ""Healing Ointment/Onguent Reparateur"" Small baby illustration and details about use. 85g.  media: , webcam-admin-1774565530917.png",player entry,"3/26/2026, 6:56:33 PM"
2052,visited: /entry/135,navigation,"3/26/2026, 6:56:33 PM"
2053,visited: /player-add-entry,navigation,"3/26/2026, 6:56:41 PM"
2054,visited: /search,navigation,"3/26/2026, 6:57:55 PM"
2055,searched: LT-M-011,search,"3/26/2026, 6:58:05 PM"
2056,visited: /entry/111,navigation,"3/26/2026, 6:58:07 PM"
2057,visited: /entry/112,navigation,"3/26/2026, 6:58:15 PM"
2058,visited: /search,navigation,"3/26/2026, 6:58:20 PM"
2059,searched: QA 39 52,search,"3/26/2026, 6:58:34 PM"
2060,searched: QA-39-52,search,"3/26/2026, 6:58:42 PM"
2061,searched: QA3952,search,"3/26/2026, 6:58:50 PM"
2062,visited: /entry/86,navigation,"3/26/2026, 6:58:52 PM"
2063,visited: /search,navigation,"3/26/2026, 6:59:45 PM"
2064,visited: /player-add-entry,navigation,"3/26/2026, 6:59:46 PM"
2065,"YOU-A-930 title: New Entry desc: Small green metal worry ring, approximately 3 cm in diameter. Used by researchers in the archive to soothe feelings of anxiety, stress, delirium that naturally arise from archival work.  media: , webcam-admin-1774566076634.png, webcam-admin-1774566096687.png",player entry,"3/26/2026, 7:01:41 PM"
2066,visited: /entry/136,navigation,"3/26/2026, 7:01:41 PM"
2067,visited: /search,navigation,"3/26/2026, 7:01:49 PM"
2068,searched: QA1043,search,"3/26/2026, 7:02:05 PM"
2069,searched: QA-10-43,search,"3/26/2026, 7:02:10 PM"
2070,searched: QA-10 43,search,"3/26/2026, 7:02:17 PM"
2071,searched: QA3952,search,"3/26/2026, 7:02:27 PM"
2072,visited: /entry/86,navigation,"3/26/2026, 7:02:28 PM"
2073,visited: /search,navigation,"3/26/2026, 7:02:47 PM"
2074,visited: /player-add-entry,navigation,"3/26/2026, 7:02:49 PM"
2075,"YOU-A-835 title: New Entry desc: Circular pendant strung with cream beige string. Shapes imprinted with ring bands across the face of the pendant. media: , webcam-admin-1774566357502.png",player entry,"3/26/2026, 7:06:09 PM"
2076,visited: /entry/137,navigation,"3/26/2026, 7:06:09 PM"
2077,visited: /player-add-entry,navigation,"3/26/2026, 7:06:49 PM"
2078,"YOU-A-524 title: New Entry desc: It is a baby boiii uterus, trans dinosaur from the future, year 3033 media: , webcam-admin-1774566461701.png",player entry,"3/26/2026, 7:08:19 PM"
2079,visited: /entry/138,navigation,"3/26/2026, 7:08:19 PM"
2080,visited: /search,navigation,"3/26/2026, 7:14:11 PM"
2081,searched: rock,search,"3/26/2026, 7:14:25 PM"
2082,visited: /entry/111,navigation,"3/26/2026, 7:14:27 PM"
2083,visited: /search,navigation,"3/26/2026, 7:14:35 PM"
2084,searched: xray,search,"3/26/2026, 7:14:40 PM"
2085,searched: fossil,search,"3/26/2026, 7:14:48 PM"
2086,searched: bone,search,"3/26/2026, 7:14:54 PM"
2087,visited: /entry/114,navigation,"3/26/2026, 7:14:56 PM"
2088,visited: /entry/73,navigation,"3/26/2026, 7:15:07 PM"
2089,visited: /search,navigation,"3/26/2026, 7:15:12 PM"
2090,visited: /player-add-entry,navigation,"3/26/2026, 7:17:17 PM"
2091,"YOU-A-460 title: ""congratulations"" teeth desc: these teeth are labelled LT-A-275, and they are very mysterious media: , webcam-admin-1774567130750.png",player entry,"3/26/2026, 7:18:54 PM"
2092,visited: /entry/139,navigation,"3/26/2026, 7:18:54 PM"
